Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,ANNUAL TOTAL,Year
LYFT,AVT045,3FA6P0RU2KR104428,4.0,180.7263663,124.6778467,169.0266026,72.94776573,189.6569378,85.06682759,17.1866382,0,0,0,0,0,839.2889849,2021
LYFT,AVT045,3FA6P0RU5JR274913,5.0,166.528637,220.3343152,201.4433061,70.53145996,7.150365296,103.5396395,29.93253738,2.605645416,0,0,0,0,802.0659058,2021
LYFT,AVT045,3FA6P0RU7KR136100,2.0,316.7921256,199.2036639,204.0657422,236.9923527,59.35499187,0,0,0,0,0,0,0,1016.408876,2021
LYFT,AVT045,3FA6P0RUXKR136012,2.0,198.536376,232.2702729,94.46597355,225.0305934,146.2654876,35.64264724,48.32465397,4.926309531,0,0,0,0,985.4623141,2021
LYFT,AVT045,3FA6P0RU0JR149057,1.0,190.4505198,121.130279,159.389177,151.5126599,69.88618535,99.16112677,20.57683053,0,0,0,0,0,812.1067783,2021
LYFT,AVT045,3FA6P0RUXJR158090,0.0,48.17201361,125.603713,124.6248298,140.970521,65.55252726,65.78237386,25.94997156,0,0,0,0,0,596.6559501,2021
LYFT,AVT045,3FA6P0RU1KR135962,1.0,238.9832571,114.5210658,81.66050724,153.3552733,190.9639271,46.62101622,56.22976932,0,0,0,0,0,882.3348161,2021
LYFT,AVT045,3FA6P0RU3JR214046,2.0,103.3842167,54.99606201,129.1223101,80.86790634,55.54070262,81.89479531,19.49725909,0,0,0,0,0,525.3032522,2021
LYFT,AVT045,3FA6P0RU7JR157950,2.0,161.8037009,171.5154152,103.03227,104.6090106,7.032545304,1.141765,18.95376386,0,0,0,0,0,568.0884708,2021
LYFT,AVT045,3FA6P0RU3HR399516,1.0,185.8370465,275.5033878,20.63847372,2.424163022,91.84384526,19.18027242,30.05847927,0,0,0,0,0,625.4856679,2021
LYFT,AVT045,3FA6P0RU2JR203832,1.0,29.91161458,109.9551688,87.14200348,123.6751096,73.51154484,9.902357394,31.96194485,0,0,0,0,0,466.0597435,2021
LYFT,AVT045,3FA6P0RU2JR120045,0.0,79.26873788,126.5709358,97.69248487,89.16664245,58.42184435,37.33071204,35.1163222,0,0,0,0,0,523.5676796,2021
LYFT,AVT045,3FA6P0RU0HR408592,1.0,4.33423659,244.5825666,186.2856908,99.9304078,28.70517582,52.2740878,65.85255143,1.98796011,0,0,0,0,683.9526769,2021
LYFT,AVT045,3FA6P0RU3KR135669,0.0,48.04774153,5.18102054,92.70178375,36.26015196,227.7682548,13.89572971,0,0,0,0,0,0,423.8546823,2021
LYFT,AVT045,2C4RC1N79JR358974,0.0,0,0,0,0,107.5097689,24.99430731,0,0,0,0,0,0,132.5040762,2021
LYFT,AVT045,2C4RC1N75JR358986,1.0,5.482041655,2.206341876,0.004667302,0,134.2443783,115.0978335,0,0,0,0,0,0,257.0352626,2021
LYFT,AVT045,2C4RC1N79JR159178,0.0,0,0,0,3.974845387,31.15571637,29.15650893,0,0,0,0,0,0,64.28707068,2021
LYFT,AVT045,2C4RC1N72LR135159,0.0,0,0,0,0,26.27534427,6.50264739,0,0,0,0,0,0,32.77799166,2021
LYFT,AVT045,2C4RC1N70LR135158,0.0,0,0,0,0,78.87080297,33.41879593,3.979232667,0,0,0,0,0,116.2688316,2021
LYFT,AVT045,2C4RC1N73LR135204,0.0,0,0,0,0,80.67235423,80.21249452,55.3214667,0,0,0,0,0,216.2063155,2021
LYFT,AVT045,2C4RC1N75LR135205,0.0,0,0,0,0,0,10.05779454,121.0319529,0,0,0,0,0,131.0897475,2021
LYFT,AVT045,2C4RC1N76LR138968,0.0,0,0,0,0,0,0,19.60132144,0,0,0,0,0,19.60132144,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,WDD2221591A470147,124.0,2,16,0,32,224,67,24,0,0,93,285,0,744,2021
"MERCEDES-BENZ RESEARCH & DEVELOPMENT NORTH AMERICA, INC.",AVT002,WDD2221591A470238,2.0,0,0,6,0,0,0,0,0,0,0,0,0,6,2021
